date,oi,oi_value,oi_mean,ls_global,ls_top,taker_ls
2023-06-09,786566.5750,1447706722.6535,779547.0268,1.639672,1.167845,1.135009
2023-06-10,848636.4050,1486031720.2900,849859.5883,2.262658,1.097828,1.037166
2023-06-11,828342.8160,1450560805.6666,855674.1689,1.996630,1.116146,1.101029
2023-06-12,855909.3060,1490138101.7460,850094.1040,2.157809,1.122892,1.077361
2023-06-13,857776.4390,1491315023.2310,834874.6887,2.082221,1.144255,1.171862
2023-06-14,847859.2470,1398649642.4223,858590.8133,2.446628,1.082306,1.110137
2023-06-15,827888.8270,1378475655.0562,863325.3485,2.308354,1.011692,1.060885
2023-06-16,762206.9050,1309143713.8208,811610.1189,1.604152,1.096771,1.136242
2023-06-17,765166.7200,1321771947.1296,761106.5477,1.712559,1.129880,1.191404
2023-06-18,765814.2660,1316903290.4651,775114.9084,1.671375,1.110637,1.149757
2023-06-19,762865.1150,1323066411.0523,771461.4667,1.762618,1.089810,1.186009
2023-06-20,756166.2020,1354667454.8230,766857.6272,1.288538,1.152217,1.146980
2023-06-21,745831.9220,1410092206.6909,744352.0850,1.072238,1.180520,1.052044
2023-06-22,741018.9200,1386920651.4288,741993.6306,1.037927,1.241570,1.127811
2023-06-23,728193.8960,1375958776.1868,737746.8885,1.111215,1.201037,1.087334
2023-06-24,720489.6420,1351487265.5672,735513.8036,1.238234,1.203467,1.108995
2023-06-25,754292.2040,1432199984.3271,750613.2118,1.153072,1.222457,1.075900
2023-06-26,744492.6860,1383735100.8933,752842.2254,1.501930,1.187163,1.069226
2023-06-27,776317.9840,1467562518.8156,749488.9123,1.210038,1.234660,1.171755
2023-06-28,778337.2260,1422691481.9164,759728.9896,1.780439,1.135623,1.059362
2023-06-29,743198.0480,1376388582.5299,761580.5053,1.548076,1.169980,1.058331
2023-06-30,834323.7660,1613827208.2053,778033.3624,1.015434,1.234958,1.082898
2023-07-01,836267.9230,1609496002.7945,834535.4479,1.079272,1.260239,1.165172
2023-07-02,793757.3720,1537653720.0466,807559.2398,1.116389,1.284498,1.099030
2023-07-03,855557.5490,1671478206.7095,857888.5929,1.034035,1.248527,1.099556
2023-07-04,800264.8170,1549268398.1127,835451.0154,1.146462,1.303224,1.127045
2023-07-05,796534.6630,1521749334.9803,799874.8727,1.426629,1.272569,1.124786
2023-07-06,759588.1730,1407212093.1150,779078.0579,1.783441,1.266571,1.107497
2023-07-07,752407.6990,1406423043.2018,769694.6642,1.868399,1.203150,1.072238
2023-07-08,763165.9810,1422014804.0571,761483.6255,1.939521,1.204746,1.149865
2023-07-09,755470.5510,1406467079.5022,760129.9972,1.823484,1.210622,1.165314
2023-07-10,751901.3040,1413385051.7095,756092.1720,1.479278,1.225396,1.130303
2023-07-11,761511.8210,1429502375.2630,767004.0230,1.585962,1.223056,1.091660
2023-07-12,758610.0480,1419233169.6601,766676.9311,1.538250,1.222854,1.102135
2023-07-13,892652.1190,1788375373.8196,800560.8555,0.800848,1.203428,1.141783
2023-07-14,722668.0240,1399699562.2844,869326.7814,1.352233,1.239767,1.090063
2023-07-15,758938.7270,1464789690.0464,744004.4270,1.347829,1.206768,1.167692
2023-07-16,749138.3930,1438801848.0344,761016.0342,1.382265,1.234619,1.188868
2023-07-17,736367.2820,1408000516.2394,747073.4061,1.686327,1.231219,1.068711
2023-07-18,751823.5750,1425773609.6547,750285.4288,1.712319,1.212624,1.054485
2023-07-19,758684.6670,1433989889.0967,760829.2328,1.854292,1.192429,1.100136
2023-07-20,752448.6980,1421924500.7185,764449.9466,1.969129,1.184662,1.072046
2023-07-21,746120.6760,1410891814.6957,756821.1687,1.874486,1.205153,1.094643
2023-07-22,770722.0220,1435600111.6934,755352.0881,2.066875,1.146162,1.233578
2023-07-23,725429.9670,1370182997.6105,753624.4704,1.815450,1.198697,1.226063
2023-07-24,769989.4600,1424272603.8458,761137.3424,2.174541,1.185286,1.060322
2023-07-25,744571.6780,1382907811.7626,753984.2033,1.895789,1.216593,1.127792
2023-07-26,754644.3560,1411720743.2128,739281.4831,1.648419,1.257901,1.208794
2023-07-27,778046.5530,1447010979.2694,777554.3627,1.806094,1.270492,1.157523
2023-07-28,815652.1170,1528328154.2287,787036.2776,1.536989,1.249992,1.189122
2023-07-29,814095.8360,1530931642.4731,808130.9420,1.449750,1.274195,1.370982
2023-07-30,767059.4080,1427431425.7319,802917.7390,1.825132,1.263231,1.196835
2023-07-31,790485.4670,1467259599.5721,775646.6179,2.004503,1.252110,1.199914
2023-08-01,766872.3420,1434634363.4099,807709.4812,1.881824,1.252739,1.113992
2023-08-02,781537.8800,1436091485.2576,770252.8444,2.257741,1.320476,1.040299
2023-08-03,782386.4580,1436048016.5011,782918.0602,2.154203,1.318583,1.121330
2023-08-04,775531.7520,1419230861.4775,777015.1289,2.353487,1.301982,1.172281
2023-08-05,773370.8300,1420202392.5553,780435.0151,2.212224,1.314987,1.206439
2023-08-06,791742.6310,1448247703.1989,785495.1322,2.289846,1.294128,1.328726
2023-08-07,839094.8830,1533437507.7337,803353.1289,2.435497,1.276837,1.164319
2023-08-08,794608.1590,1474159746.2062,802890.4340,1.502312,1.333361,1.178607
2023-08-09,791816.7000,1469207968.6830,799557.4654,1.655080,1.310274,1.212160
2023-08-10,790863.7050,1464771735.3371,793625.8926,1.779486,1.301093,1.164594
2023-08-11,773004.7910,1428924519.7421,782739.5591,1.906805,1.291893,1.268898
2023-08-12,775579.6790,1433930489.5192,778223.4876,1.924269,1.283898,1.741022
2023-08-13,782354.4220,1439477371.6705,776260.7228,2.097973,1.312652,1.592909
2023-08-14,786327.9300,1450641355.1019,789468.1869,2.143705,1.282437,1.213142
2023-08-15,844484.8520,1543676593.5595,810376.9530,2.474005,1.275726,1.245696
2023-08-16,872562.8890,1577819329.2539,857224.7923,2.539769,1.296775,1.228352
2023-08-17,788530.1780,1326914927.6331,871033.1918,2.072395,0.936671,1.093961
2023-08-18,695775.9420,1155512194.4646,750461.2803,2.064196,1.020209,0.998672
2023-08-19,634030.2400,1057568780.6224,667718.8354,2.169327,1.111709,0.963412
2023-08-20,650488.4100,1094682937.0668,646047.9253,2.017917,1.128385,1.073128
2023-08-21,638468.0290,1063822528.1009,651027.1743,2.070118,1.138461,1.120039
2023-08-22,611322.7990,999402738.2612,640486.4497,2.300435,1.093038,1.193762
2023-08-23,604227.4490,1013531122.9526,615274.6455,1.783144,1.112618,1.072262
2023-08-24,595263.6710,987390936.1681,609559.0348,2.102972,1.096793,1.197919
2023-08-25,602435.3700,996123822.5076,611167.5195,2.048951,1.089730,1.171561
2023-08-26,602464.1980,991715660.2624,601382.7669,2.093034,1.055876,1.563545
2023-08-27,604952.7860,1002376518.7627,602449.3941,2.033884,1.057817,1.349500
2023-08-28,603906.0650,998724423.4562,611238.1229,2.041719,1.062904,1.262243
2023-08-29,635091.8940,1097108545.0471,620087.8594,1.322972,1.101396,1.098224
2023-08-30,621398.5910,1058888055.0076,622341.7424,1.615095,1.102834,1.208083
2023-08-31,591107.3330,972760533.8545,613341.3364,2.185018,1.112361,1.187720
2023-09-01,580516.2650,945800319.5886,595124.7830,2.311393,1.086443,1.096851
2023-09-02,572481.4730,936344972.4241,578520.3334,2.208934,1.075961,1.090735
2023-09-03,565138.3860,924351646.9093,575897.5316,2.174871,1.078148,1.582373
2023-09-04,575034.7280,937702556.8708,575106.1876,2.260383,1.076961,1.151737
