date,funding_sum,funding_mean,funding_n
2021-02-20,0.0057198500,0.0019066167,3
2021-02-21,0.0020229900,0.0006743300,3
2021-02-22,0.0015954800,0.0005318267,3
2021-02-23,0.0004616800,0.0001538933,3
2021-02-24,0.0008152400,0.0002717467,3
2021-02-25,0.0007294800,0.0002431600,3
2021-02-26,0.0006258800,0.0002086267,3
2021-02-27,0.0009014100,0.0003004700,3
2021-02-28,0.0003000000,0.0001000000,3
2021-03-01,0.0009254600,0.0003084867,3
2021-03-02,0.0012440500,0.0004146833,3
2021-03-03,0.0010709100,0.0003569700,3
2021-03-04,0.0009654000,0.0003218000,3
2021-03-05,0.0005744600,0.0001914867,3
2021-03-06,0.0012187900,0.0004062633,3
2021-03-07,0.0014668600,0.0004889533,3
2021-03-08,0.0011230300,0.0003743433,3
2021-03-09,0.0020173100,0.0006724367,3
2021-03-10,0.0021563100,0.0007187700,3
2021-03-11,0.0019429100,0.0006476367,3
2021-03-12,0.0023934700,0.0007978233,3
2021-03-13,0.0022552100,0.0007517367,3
2021-03-14,0.0033087900,0.0011029300,3
2021-03-15,0.0017188600,0.0005729533,3
2021-03-16,0.0009532100,0.0003177367,3
2021-03-17,0.0013100400,0.0004366800,3
2021-03-18,0.0020534000,0.0006844667,3
2021-03-19,0.0005776200,0.0001925400,3
2021-03-20,0.0021555700,0.0007185233,3
2021-03-21,0.0009732800,0.0003244267,3
2021-03-22,0.0014137200,0.0004712400,3
2021-03-23,0.0006298900,0.0002099633,3
2021-03-24,0.0010295300,0.0003431767,3
2021-03-25,0.0005593800,0.0001864600,3
2021-03-26,0.0006243100,0.0002081033,3
2021-03-27,0.0005998900,0.0001999633,3
2021-03-28,0.0008671600,0.0002890533,3
2021-03-29,0.0015007100,0.0005002367,3
2021-03-30,0.0016731000,0.0005577000,3
2021-03-31,0.0022219000,0.0007406333,3
2021-04-01,0.0033075800,0.0011025267,3
2021-04-02,0.0028881900,0.0009627300,3
2021-04-03,0.0031250600,0.0010416867,3
2021-04-04,0.0020478300,0.0006826100,3
2021-04-05,0.0023270200,0.0007756733,3
2021-04-06,0.0028709700,0.0009569900,3
2021-04-07,0.0015164800,0.0005054933,3
2021-04-08,0.0007999800,0.0002666600,3
2021-04-09,0.0014625800,0.0004875267,3
2021-04-10,0.0033992000,0.0011330667,3
2021-04-11,0.0023334900,0.0007778300,3
2021-04-12,0.0033203100,0.0011067700,3
2021-04-13,0.0033256200,0.0011085400,3
2021-04-14,0.0045200700,0.0015066900,3
2021-04-15,0.0032852100,0.0010950700,3
2021-04-16,0.0039063600,0.0013021200,3
2021-04-17,0.0023856800,0.0007952267,3
2021-04-18,0.0011875500,0.0003958500,3
2021-04-19,0.0007192000,0.0002397333,3
2021-04-20,0.0004127900,0.0001375967,3
2021-04-21,0.0003000000,0.0001000000,3
2021-04-22,0.0004446600,0.0001482200,3
2021-04-23,0.0009024300,0.0003008100,3
2021-04-24,0.0005039100,0.0001679700,3
2021-04-25,0.0003000000,0.0001000000,3
2021-04-26,0.0003000000,0.0001000000,3
2021-04-27,0.0006066300,0.0002022100,3
2021-04-28,0.0006335500,0.0002111833,3
2021-04-29,0.0003000000,0.0001000000,3
2021-04-30,0.0007749000,0.0002583000,3
2021-05-01,0.0005741700,0.0001913900,3
2021-05-02,0.0007317300,0.0002439100,3
2021-05-03,0.0008162700,0.0002720900,3
2021-05-04,0.0017403100,0.0005801033,3
2021-05-05,0.0020465900,0.0006821967,3
2021-05-06,0.0024577300,0.0008192433,3
2021-05-07,0.0011320400,0.0003773467,3
2021-05-08,0.0014748400,0.0004916133,3
2021-05-09,0.0015466100,0.0005155367,3
2021-05-10,0.0021091600,0.0007030533,3
2021-05-11,0.0011402200,0.0003800733,3
2021-05-12,0.0011184300,0.0003728100,3
2021-05-13,0.0006567000,0.0002189000,3
2021-05-14,0.0003000000,0.0001000000,3
2021-05-15,0.0013694200,0.0004564733,3
2021-05-16,0.0006266500,0.0002088833,3
2021-05-17,0.0011911800,0.0003970600,3
2021-05-18,0.0008991900,0.0002997300,3
2021-05-19,-0.0029302100,-0.0009767367,3
2021-05-20,0.0003182800,0.0001060933,3
2021-05-21,0.0003000000,0.0001000000,3
2021-05-22,0.0003000000,0.0001000000,3
2021-05-23,0.0003000000,0.0001000000,3
2021-05-24,0.0003000000,0.0001000000,3
2021-05-25,0.0003000000,0.0001000000,3
2021-05-26,0.0003000000,0.0001000000,3
2021-05-27,0.0003000000,0.0001000000,3
2021-05-28,0.0003000000,0.0001000000,3
2021-05-29,0.0003000000,0.0001000000,3
2021-05-30,0.0003000000,0.0001000000,3
2021-05-31,0.0003000000,0.0001000000,3
2021-06-01,0.0003000000,0.0001000000,3
2021-06-02,0.0003000000,0.0001000000,3
2021-06-03,0.0003000000,0.0001000000,3
2021-06-04,0.0003000000,0.0001000000,3
2021-06-05,0.0003000000,0.0001000000,3
2021-06-06,0.0003000000,0.0001000000,3
2021-06-07,0.0003000000,0.0001000000,3
2021-06-08,0.0003000000,0.0001000000,3
2021-06-09,0.0003000000,0.0001000000,3
2021-06-10,0.0003000000,0.0001000000,3
2021-06-11,0.0002868300,0.0000956100,3
2021-06-12,0.0003000000,0.0001000000,3
2021-06-13,0.0003000000,0.0001000000,3
2021-06-14,0.0002378500,0.0000792833,3
2021-06-15,0.0003000000,0.0001000000,3
2021-06-16,0.0003000000,0.0001000000,3
2021-06-17,0.0003000000,0.0001000000,3
2021-06-18,0.0001897100,0.0000632367,3
2021-06-19,-0.0000837900,-0.0000279300,3
2021-06-20,-0.0001903400,-0.0000634467,3
2021-06-21,-0.0001024600,-0.0000341533,3
2021-06-22,0.0001367500,0.0000455833,3
2021-06-23,-0.0001175200,-0.0000391733,3
2021-06-24,0.0001556800,0.0000518933,3
2021-06-25,0.0002720700,0.0000906900,3
2021-06-26,-0.0001652100,-0.0000550700,3
2021-06-27,-0.0004709000,-0.0001569667,3
2021-06-28,0.0000333100,0.0000111033,3
2021-06-29,0.0000273400,0.0000091133,3
2021-06-30,0.0003000000,0.0001000000,3
2021-07-01,0.0002485300,0.0000828433,3
2021-07-02,-0.0001722700,-0.0000574233,3
2021-07-03,0.0000612100,0.0000204033,3
2021-07-04,0.0003000000,0.0001000000,3
2021-07-05,0.0001982200,0.0000660733,3
2021-07-06,0.0000854900,0.0000284967,3
2021-07-07,0.0002304200,0.0000768067,3
